################################################################################
IN SEQ: 	 b'how much is mel ##ani ##n worth in 2020 ?'
GOLD SEQ: 	 b'what will happen now that facts have been released that putin again interfered into the 2020 presidential election on behalf of trump ?'
PRED SEQ:	 b'what will happen now that facts have been released that putin again into the 2020 presidential election on behalf of trump ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0043578553, 0.0024486494, 0.0003870865, 0.0004617597, 1.843025e-05, 0.009318169, 3.432756e-05, 1.0121888e-05, 0.0006548226, 7.356699e-05, 0.023143057, 0.14072295, 0.6174419, 0.009795427, 2.6215755e-05, 8.367235e-05, 2.0739197e-05, 2.2667035e-05, 4.4906057e-05, 0.00085250736, 4.4452568e-06, 0.0005525632, 0.00080900395]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'does this t - shirt accurately describe the 2020 presidential election ?'
GOLD SEQ: 	 b'does this t - shirt accurately describe the 2020 presidential election ?'
PRED SEQ:	 b'does this t - shirt describe the 2020 presidential election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [5.7283687e-06, 2.2589882e-06, 2.9256357e-06, 1.7202113e-06, 3.959812e-06, 0.97626585, 4.7119065e-05, 1.7540287e-06, 3.8650896e-06, 3.292788e-06, 2.2541076e-06, 6.499077e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what would have happened if vp mike pen ##ce had rejected the electors and tried to pick his own slate ##s of electors on jan . 6 , 2021 , before the demonstrators broke into the capitol ?'
GOLD SEQ: 	 b'what would have happened if vp mike pen ##ce had rejected the electors and tried to pick his own slate ##s of electors on jan . 6 , 2021 , before the demonstrators broke into the capitol ?'
PRED SEQ:	 b'what would have happened if if mike pen ##ce had rejected the electors and tried to pick his own slate ##s of electors on jan . 6 , 2021 , before the demonstrators broke into the capitol ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0004694692, 0.000280578, 2.3909526e-05, 0.0001809249, 1.534348e-05, 0.90289396, 4.1477215e-06, 1.7328665e-06, 1.4416933e-06, 1.0788516e-05, 3.8808932e-05, 9.725415e-06, 1.8723693e-05, 3.0673525e-06, 5.5937657e-05, 1.3253476e-06, 7.5072776e-06, 8.087726e-06, 3.0979827e-06, 1.7940599e-06, 1.6368413e-06, 1.0496891e-06, 2.131506e-06, 9.3937315e-06, 2.579272e-05, 1.5557262e-06, 1.7922541e-06, 9.38538e-07, 1.0087218e-05, 1.358673e-06, 4.52315e-05, 0.005843442, 0.058933977, 0.0021479116, 2.0081587e-05, 1.7674352e-06, 0.000118888835, 0.00011011193]
GOLD TOK: 	 []
PRED TOK: 	 [['if']]
################################################################################
IN SEQ: 	 b'will most people ever admit there was voter fraud in the 2020 elections ?'
GOLD SEQ: 	 b'will most people ever admit there was voter fraud in the 2020 elections ?'
PRED SEQ:	 b'will most people ever admit there was voter fraud in the 2020 elections ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.0021581498, 0.015908707, 0.0008675515, 0.18889554, 0.7706206, 1.7492746e-05, 4.5339377e-05, 0.00021949832, 0.000482147, 9.542188e-06, 1.9268724e-05, 0.00017707628, 5.6394852e-05, 0.00016609863]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'do you think time travelers interfered with the 2020 elections or brought co ##vid as a distraction ?'
GOLD SEQ: 	 b'do you think time travelers interfered with the 2020 elections or brought co ##vid as a distraction ?'
PRED SEQ:	 b'do you think time travelers interfered with the 2020 elections or brought co ##vid as a distraction ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.10641671, 0.2661075, 0.2134611, 0.010503057, 0.03607934, 0.110038646, 0.000292135, 0.00040246456, 0.0014026553, 0.0020776284, 0.004633561, 0.023677422, 0.0010952945, 0.002797937, 0.015488829, 0.005085038, 0.03634786, 0.0030097323]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'who can swear on the bible that there were acts of fraud in georgia during the 2020 election and give specific ##s ?'
GOLD SEQ: 	 b'who can swear on the bible that there were acts of fraud in georgia during the 2020 election and give specific ##s ?'
PRED SEQ:	 b'who can swear on the bible that there were acts of fraud in georgia during the 2020 election and give specific ##s ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.09703271, 0.29612792, 0.028041005, 0.00045613848, 0.0042529833, 0.42756492, 0.00011836497, 0.00020771666, 0.000591407, 0.0034804677, 6.432322e-05, 0.011516044, 0.00011334608, 0.0025904889, 0.0001279285, 2.8205872e-05, 0.00040120233, 0.0011302889, 0.00047487876, 0.0037635127, 0.007910782, 0.0014272816, 0.0016425982]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'does the 2020 gm ##c offer a lowered truck suspension option ?'
GOLD SEQ: 	 b'does the 2020 gm ##c offer a lowered truck suspension option ?'
PRED SEQ:	 b'does the 2020 gm ##c offer a truck suspension option ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.008059456, 1.2189827e-05, 0.00021534655, 1.4545475e-05, 7.293819e-06, 0.0014773125, 3.866505e-05, 0.63796693, 0.00016501916, 6.0350987e-05, 0.00031057172, 0.058512133]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why is trump trying to audit the arizona 2020 election ?'
GOLD SEQ: 	 b'why is trump trying to audit the arizona 2020 election ?'
PRED SEQ:	 b'why is trump trying to audit the arizona 2020 election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.19532984, 0.015579369, 0.02090967, 0.10642289, 0.0010227282, 0.41160592, 0.009374754, 0.015458768, 0.0037581618, 0.0035189858, 0.02478288]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"what are your thoughts on the us ' s plans to put sanctions on russia for interference in the 2020 us presidential election ?"
GOLD SEQ: 	 b"what are your thoughts on the us ' s plans to put sanctions on russia for interference in the 2020 us presidential election ?"
PRED SEQ:	 b"what are your thoughts on the us ' s plans to put sanctions on russia for mis ##use in the 2020 us presidential election ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00012163708, 1.7787268e-05, 0.0011434343, 5.314801e-05, 1.7077306e-05, 1.9186231e-05, 4.7100737e-05, 2.1107758e-06, 3.7269235e-06, 2.943496e-05, 2.9144132e-06, 2.008063e-05, 2.3409664e-05, 2.1235617e-05, 0.0010572256, 0.044246215, 0.81602997, 0.00030200876, 6.0135453e-06, 6.039618e-05, 4.9566603e-05, 1.2216723e-05, 8.568879e-06, 1.235863e-05]
GOLD TOK: 	 []
PRED TOK: 	 [['mis', '##use']]
################################################################################
IN SEQ: 	 b'did donald trump destroy his legacy from november 4th , 2020 through january 20th , 2021 ?'
GOLD SEQ: 	 b'did donald trump destroy his legacy from november 4th , 2020 through january 20th , 2021 ?'
PRED SEQ:	 b'did donald trump his legacy from november 4th , 2020 through january 20th , 2021 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [1.9104662e-06, 1.1343373e-06, 8.816472e-07, 0.9996387, 1.8274636e-06, 6.333143e-05, 9.0243947e-07, 8.324135e-07, 8.0541366e-07, 6.1648603e-07, 8.1727205e-07, 1.2527024e-06, 1.0349636e-06, 9.390546e-07, 6.4892276e-07, 9.371168e-07, 3.4965237e-06]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what did donald trump just say about running for president in 202 ##4 ?'
GOLD SEQ: 	 b'what did donald trump just say about running for president in 202 ##4 ?'
PRED SEQ:	 b'what did donald trump say about running for president in 202 ##4 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.045220777, 0.0040878216, 0.0001794342, 4.3529402e-05, 0.8289599, 0.010268046, 0.0005243704, 0.002113859, 0.00023692446, 0.0068813916, 0.00029039994, 0.00521575, 0.00016709241, 0.0025998298]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what if the 2020 democratic ticket was sanders - warren ?'
GOLD SEQ: 	 b'what if the 2020 democratic ticket was sanders - warren ?'
PRED SEQ:	 b'what if the 2020 democratic ticket was sanders - ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.043876905, 0.010339866, 9.392476e-05, 0.0033956682, 0.007752862, 0.0025909916, 0.04069555, 0.31151533, 0.33782765, 0.5607399, 0.029194621]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'what was bernie ##s strategy / path to victory in the 2020 primary and the 2020 general election ?'
GOLD SEQ: 	 b'what was bernie ##s strategy / path to victory in the 2020 primary and the 2020 general election ?'
PRED SEQ:	 b'what was bernie ##s strategy to victory in the 2020 primary and the 2020 general election ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.13845655, 0.024262497, 0.06274357, 0.024329953, 0.0901446, 0.41926235, 0.10951622, 0.00062492274, 0.4019696, 7.282329e-05, 2.7270547e-05, 0.00015186568, 0.00028222153, 6.6309134e-05, 3.9865135e-05, 0.00013876508, 0.00015182224, 2.5493982e-05, 0.019377673]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'at the start of 2019 before co ##vid blew up , was trump on the road to a very decisive victory for 2020 ?'
GOLD SEQ: 	 b'at the start of 2019 before co ##vid blew up , was trump on the road to a very decisive victory for 2020 ?'
PRED SEQ:	 b'at the start of 2019 before co ##vid blew up , was trump on the road to a decisive victory for 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.00076614786, 2.6333422e-05, 8.662214e-05, 1.1313187e-05, 3.6733793e-05, 0.00032532786, 0.0007673327, 0.0062674046, 0.025999526, 0.00018268911, 2.2569795e-05, 0.0009876197, 0.00046527892, 5.534344e-05, 8.621093e-06, 0.00010584499, 3.0756466e-05, 0.00014829154, 0.79457116, 0.034623574, 0.00445492, 0.00080457644, 0.00040664343, 0.00025377382]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"why don ' t you want 2020 back in your life ?"
GOLD SEQ: 	 b"why don ' t you want 2020 back in your life ?"
PRED SEQ:	 b"why don ' t you want 2020 back in your life ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.3464101, 0.000598235, 8.010718e-06, 0.00047020862, 0.026773334, 0.010580557, 0.53115714, 0.020006508, 0.00034158246, 0.010171549, 0.0020312683, 0.008552369]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'should the fbi investigate trump \' s apparent intimidation of georgia \' s secretary of state to " find " a specific number of votes as outright attempt at election fraud ?'
GOLD SEQ: 	 b'should the fbi investigate trump \' s apparent intimidation of georgia \' s secretary of state to " find " a specific number of votes as outright attempt at election fraud ?'
PRED SEQ:	 b'should the fbi investigate trump \' s intimidation of georgia \' s secretary of state to " find " a specific number of votes as outright attempt at election fraud ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.004583155, 2.4684593e-06, 1.566551e-05, 0.00037957611, 8.785703e-06, 1.1112269e-06, 1.7048187e-06, 0.9922725, 0.0012576485, 1.147656e-06, 1.6083969e-06, 7.8927155e-07, 9.0729264e-07, 1.0606688e-06, 7.876534e-07, 1.0985206e-06, 1.9752617e-06, 8.711771e-07, 1.3062843e-05, 1.0258709e-06, 1.252602e-06, 1.0164384e-05, 1.5010464e-06, 8.0591843e-07, 3.023677e-06, 3.8719696e-05, 0.0006101854, 7.0165665e-06, 1.1752552e-06, 1.4544883e-06, 5.105474e-06, 1.0565775e-05]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'how did the wall street executives spending $ 2 . 9 billion on campaigns and lobbying affect the 2020 elections ?'
GOLD SEQ: 	 b'how did the wall street executives spending $ 2 . 9 billion on campaigns and lobbying affect the 2020 elections ?'
PRED SEQ:	 b'how did the wall street executives spending $ 2 . 9 billion on campaigns and lobbying affect the 2020 elections ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.21568081, 0.08420376, 0.030760664, 0.000489824, 0.00018815533, 0.08784094, 0.01327445, 0.0010902077, 0.000360595, 2.1266747e-05, 0.00032501417, 0.00024538513, 0.0007248375, 0.0030723189, 0.00055130484, 0.033301882, 0.25590092, 0.014426569, 0.0067907004, 0.009089988, 0.03410521]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'people who went from bernie 2016 to trump 2020 , what made you change ?'
GOLD SEQ: 	 b'people who went from bernie 2016 to trump 2020 , what made you change ?'
PRED SEQ:	 b'people who went from bernie 2016 to trump 2020 , what made you change ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.12169202, 0.09149269, 0.17865951, 0.0037565683, 0.33389002, 0.0012464415, 0.00010103335, 0.11627751, 0.011289135, 3.2880514e-05, 0.00012933981, 5.2584484e-05, 0.00014975986, 0.0005776057, 0.00086179114]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b"what is donald trump still so fix ##ated about the 2020 election being rigged and ob ##ses ##sive ##ly asks aide ##s multiple times a day about the go ##p led audit of arizona ' s 2020 election rec ##ount ?"
GOLD SEQ: 	 b"what is donald trump still so fix ##ated about the 2020 election being rigged and ob ##ses ##sive ##ly asks aide ##s multiple times a day about the go ##p led audit of arizona ' s 2020 election rec ##ount ?"
PRED SEQ:	 b"what is donald trump still so fix ##ated about the 2020 election being rigged and asks aide ##s multiple times a day about the go ##p led audit of arizona ' s 2020 election rec ##ount ?"
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.013218212, 0.00051561935, 5.741299e-05, 1.4300457e-05, 0.017022705, 0.016126562, 0.037259787, 0.05272962, 7.664061e-05, 1.144532e-05, 0.00014610241, 4.7588073e-05, 0.0010535336, 0.02301113, 0.0025789258, 0.8280258, 0.84059817, 0.86092836, 0.8327734, 0.00028222502, 0.00146266, 0.00012329155, 0.00010369133, 5.1698353e-06, 2.7003705e-06, 6.2785457e-06, 2.7409567e-05, 0.00040058052, 0.00011124096, 3.4236742e-05, 0.07365577, 0.0111731095, 3.7797338e-06, 3.0556792e-05, 1.9165977e-06, 2.6927792e-06, 2.7484111e-05, 1.5844967e-05, 0.000444977, 0.00017396978, 0.00042495003]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'why does arizona ##s republican senate hire the cyber ninja ##s company which has no election or ballot ##ing experience for rec ##ount ?'
GOLD SEQ: 	 b'why does arizona ##s republican senate hire the cyber ninja ##s company which has no election or ballot ##ing experience for rec ##ount ?'
PRED SEQ:	 b'why does arizona ##s republican senate hire the cyber ninja ##s company which has no election or ballot ##ing experience for rec ##ount ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.06736246, 0.018364385, 0.0022303965, 0.0022838786, 0.025284588, 0.0030285993, 0.0472989, 0.029648496, 0.06018335, 0.37637913, 0.26276946, 0.116000585, 0.07129243, 0.1066969, 0.028513055, 0.00056391716, 0.00010361938, 0.0004559676, 0.0008532501, 0.023693271, 0.003388949, 0.0050868643, 0.0068397634, 0.01115307]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'will the republicans be able to build up support in the latino community like they did in the 2020 election , or will the support go down ?'
GOLD SEQ: 	 b'will the republicans be able to build up support in the latino community like they did in the 2020 election , or will the support go down ?'
PRED SEQ:	 b'will the republicans be able to build up support in the latino community like they did in the 2020 election , or will the support go down ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
PRED DIST: 	 [0.2233834, 0.10026166, 0.103321426, 0.079883546, 0.03838555, 0.00024500012, 0.0023422453, 0.00046935846, 0.009451777, 0.00029433292, 0.00044586012, 0.08892263, 0.060547967, 0.010520515, 0.027926281, 0.031925343, 0.0014060837, 0.0008503672, 0.0014989554, 0.0017656048, 0.00019077386, 0.042357743, 0.07059079, 0.008876556, 0.02569179, 0.01286238, 0.027215762, 0.055778082]
GOLD TOK: 	 []
PRED TOK: 	 []
################################################################################
IN SEQ: 	 b'was bid ##en a senator or a governor before he became president in 2020 ?'
GOLD SEQ: 	 b'was bid ##en a senator or a governor before he became president in 2020 ?'
PRED SEQ:	 b'was bid ##en a senator or a governor before he became president in 2020 ?'
GOLD DIST: 	 [0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]
